DATE,DOY,week,is.collected,TREAT,REP,STATION,ABIPN,BURSI,C7,CMAC,CSTIG,CTRIF,CYCSP,H13,HAXY,HCONV,HGLAC,HPARN,HVAR,PQUA,CANTHARID,LAMPY,LCW,MECOP,20SPOT
6/11/2020,163,24,no,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6/11/2020,163,24,no,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
